symbol,security_id,segment
ASHIANA,24403,NSE_EQ
ASHIMASYN,206,NSE_EQ
ASHOKA,20182,NSE_EQ
ASHOKAMET,16943,NSE_EQ
ASHOKLEY,212,NSE_EQ
ASIANENE,7030,NSE_EQ
ASIANHOTNR,18422,NSE_EQ
ASIANPAINT,236,NSE_EQ
ASIANTILES,14889,NSE_EQ
ASIANTNE,765025,NSE_EQ
ASKAUTOLTD,20152,NSE_EQ
ASPINWALL,17270,NSE_EQ
ASSAMENT,765237,NSE_EQ
ASTAR,762553,NSE_EQ
ASTEC,17728,NSE_EQ
ASTERDM,1508,NSE_EQ
ASTRAL,14418,NSE_EQ
ASTRAMICRO,11618,NSE_EQ
ASTRAZEN,5610,NSE_EQ
ATALREAL,15649,NSE_EQ
ATAM,15404,NSE_EQ
ATGL,6066,NSE_EQ
ATHERENERG,757645,NSE_EQ
ATL,17778,NSE_EQ
ATLANTAA,13585,NSE_EQ
ATLANTAELE,759007,NSE_EQ
ATLASCYCLE,4568,NSE_EQ
ATUL,263,NSE_EQ
ATULAUTO,30023,NSE_EQ
AUBANK,21238,NSE_EQ
AURIONPRO,12022,NSE_EQ
AUROPHARMA,275,NSE_EQ
AURUM,10310,NSE_EQ
AURUS,31468,NSE_EQ
AUSOMENT,4037,NSE_EQ
AUSTENG,764608,NSE_EQ
AUTOAXLES,278,NSE_EQ
AUTOIND,14106,NSE_EQ
AVADHSUGAR,21406,NSE_EQ
AVALON,15058,NSE_EQ
AVANCE,765030,NSE_EQ
AVANTEL,24610,NSE_EQ
AVANTIFEED,7936,NSE_EQ
AVL,25984,NSE_EQ
AVONMORE,13557,NSE_EQ
AVROIND,8827,NSE_EQ
AVTNPL,14008,NSE_EQ
AWFIS,23864,NSE_EQ
AWHCL,1797,NSE_EQ
AWL,8110,NSE_EQ
AXISBANK,5900,NSE_EQ
AXISCADES,9436,NSE_EQ
AXITA,9902,NSE_EQ
AXTEL,764613,NSE_EQ
AYE,760981,NSE_EQ
AYMSYNTEX,10285,NSE_EQ
AZAD,20905,NSE_EQ
AZADIND,765035,NSE_EQ
BAGFILMS,11226,NSE_EQ
BAIDFIN,13794,NSE_EQ
BAJAJ-AUTO,16669,NSE_EQ
BAJAJCON,19531,NSE_EQ
BAJAJELEC,15034,NSE_EQ
BAJAJFINSV,16675,NSE_EQ
BAJAJHCARE,6863,NSE_EQ
BAJAJHFL,25270,NSE_EQ
BAJAJHIND,308,NSE_EQ
BAJAJHLDNG,305,NSE_EQ
BAJAJINDEF,29678,NSE_EQ
BAJAJST,762563,NSE_EQ
BAJEL,20531,NSE_EQ
BAJFINANCE,317,NSE_EQ
BALAJEE,25203,NSE_EQ
BALAJITELE,9158,NSE_EQ
BALAMINES,14501,NSE_EQ
BALAXI,11309,NSE_EQ
BALKRISHNA,10181,NSE_EQ
BALKRISIND,335,NSE_EQ
BALMLAWRIE,338,NSE_EQ
BALPHARMA,13441,NSE_EQ
BALRAMCHIN,341,NSE_EQ
BALUFORGE,23607,NSE_EQ
BANARBEADS,347,NSE_EQ
BANARISUG,350,NSE_EQ
BANCOINDIA,13880,NSE_EQ
BANDHANBNK,2263,NSE_EQ
BANG,15303,NSE_EQ
BANKA,822,NSE_EQ
BANKBARODA,4668,NSE_EQ
BANKINDIA,4745,NSE_EQ
BANSALWIRE,24386,NSE_EQ
BANSWRAS,14511,NSE_EQ
BASF,368,NSE_EQ
BATAINDIA,371,NSE_EQ
BATLIBOI,762568,NSE_EQ
BAYERCROP,17927,NSE_EQ
BBL,13761,NSE_EQ
BBOX,3435,NSE_EQ
BBTC,380,NSE_EQ
BBTCL,12153,NSE_EQ
BCG,8833,NSE_EQ
BCLIND,2513,NSE_EQ
BCONCEPTS,7780,NSE_EQ
BCPL,761494,NSE_EQ
BDL,2144,NSE_EQ
BEARDSELL,17933,NSE_EQ
BECTORFOOD,1628,NSE_EQ
BEDMUTHA,20196,NSE_EQ
BEEKAY,762573,NSE_EQ
BEL,383,NSE_EQ
BELLACASA,757938,NSE_EQ
BELRISE,757102,NSE_EQ
BEML,395,NSE_EQ
BENARAS,764618,NSE_EQ
BENGALASM,762578,NSE_EQ
BEPL,419,NSE_EQ
BERGEPAINT,404,NSE_EQ
BESTAGRO,2306,NSE_EQ
BETA,759842,NSE_EQ
BFINVEST,21113,NSE_EQ
BFUTILITIE,14567,NSE_EQ
BHAGCHEM,6164,NSE_EQ
BHAGYANGR,20776,NSE_EQ
BHANDARI,19556,NSE_EQ
BHARATCOAL,760726,NSE_EQ
BHARATFORG,422,NSE_EQ
BHARATRAS,3834,NSE_EQ
BHARATSE,30244,NSE_EQ
BHARATWIRE,16123,NSE_EQ
BHARTIARTL,10604,NSE_EQ
BHARTIHEXA,23489,NSE_EQ
BHEL,438,NSE_EQ
BIGBLOC,18431,NSE_EQ
BIKAJI,11966,NSE_EQ
BIL,7848,NSE_EQ
BIMETAL,762588,NSE_EQ
BIOCON,11373,NSE_EQ
